Nom,Cores,Potència,Caché
AMD Ryzen™ 5 8640U,6,Up to 4.9 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 5955WX"","
AMD Ryzen™ 5 8640HS,6,Up to 4.9 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 5 8600G,6,Up to 5 GHz,"Max. Boost Clock: ""Up to 4.5 GHz"","
AMD Ryzen™ 5 8500G,6,Up to 5 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 8400F,6,Up to 4.7 GHz,"},"
AMD Ryzen™ 5 PRO 7640U,6,Up to 4.9 GHz,{
AMD Ryzen™ 5 PRO 7640HS,6,Up to 5 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 3955WX"","
AMD Ryzen™ 5 PRO 7540U,6,Up to 4.9 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 5 PRO 7535U,6,Up to 4.55 GHz,"Max. Boost Clock: ""Up to 4.3 GHz"","
AMD Ryzen™ 5 7645HX,6,Up to 5 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 7640U,6,Up to 4.9 GHz,"},"
AMD Ryzen™ 5 7640HS,6,Up to 5 GHz,{
AMD Ryzen™ 5 7600X,6,Up to 5.3 GHz,"Name: ""AMD Ryzen™ 9 3950X"","
AMD Ryzen™ 5 7600,6,Up to 5.1 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 5 7545U,6,Up to 4.9 GHz,"Max. Boost Clock: ""Up to 4.7 GHz"","
AMD Ryzen™ 5 7540U,6,Up to 4.9 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 7535U,6,Up to 4.55 GHz,"},"
AMD Ryzen™ 5 7535HS,6,Up to 4.55 GHz,{
AMD Ryzen™ 5 7530U,6,Up to 4.5 GHz,"Name: ""AMD Ryzen™ AI 9 HX 370"","
AMD Ryzen™ 5 7500F,6,Up to 5 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 7430U,6,Up to 4.3 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
